shipper_id,order_id,ship_date,delivery_date,shipping_fee,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,city,region,district,delivery_days
SHP00026,44,2012-07-08,2012-07-12,2.68,Ninja Van,Van,11,4.3,96.0,21,Afternoon,2025-11-16,Nguyễn Thanh Hùng,902981241,Male,37.0,Single,High School,Lao Cai,East,District #16,4
SHP00027,45,2012-07-05,2012-07-12,1.25,Ninja Van,Van,9,4.4,96.8,34,Evening,2018-02-04,Hoàng Thị Giang,902650261,Female,47.0,Married,High School,Viet Tri,East,District #11,7
SHP00028,47,2012-07-06,2012-07-08,1.45,GHTK,Motorbike,8,4.6,98.8,52,Afternoon,2023-06-05,Hoàng Đức Quân,983104398,Male,29.0,Single,College,Cam Pha,East,District #06,2
SHP00029,48,2012-07-04,2012-07-06,0.67,Viettel Post,Truck,8,4.3,98.2,21,Morning,2023-03-28,Võ Quốc Hùng,938481552,Male,36.0,Single,College,Dong Hoi,Central,District #30,2
SHP00030,49,2012-07-04,2012-07-07,0.7,Viettel Post,Truck,4,4.2,96.4,63,Morning,2019-04-11,Hoàng Văn Trang,956294981,Male,46.0,Single,High School,Da Lat,West,District #33,3
SHP00016,50,2012-07-05,2012-07-07,2.13,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Bùi Văn Trang,926827357,Male,55.0,Married,High School,Hue,Central,District #25,2
SHP00001,52,2012-07-07,2012-07-11,0.82,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27.0,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25,4
SHP00031,53,2012-07-07,2012-07-12,2.04,Viettel Post,Truck,7,4.4,96.0,47,Afternoon,2021-11-19,Lê Thanh Nam,956649092,Female,53.0,Single,Bachelor,Kon Tum,Central,District #30,5
SHP00032,56,2012-07-06,2012-07-12,1.07,BEST Express,Truck,6,4.8,97.1,37,Afternoon,2023-06-14,Đặng Văn Nam,961242116,Female,24.0,Single,High School,Bac Ninh,East,District #04,6
SHP00033,59,2012-07-06,2012-07-09,1.1,J&T Express,Van,9,5.0,99.9,42,Evening,2022-02-07,Võ Gia Giang,996960250,Female,29.0,Married,High School,Viet Tri,East,District #09,3
SHP00034,60,2012-07-05,2012-07-09,2.11,Ninja Van,Van,7,4.7,97.4,58,Evening,2018-08-28,Đặng Thị Vy,983912150,Female,47.0,Married,College,Nha Trang,Central,District #28,4
SHP00003,62,2012-07-06,2012-07-13,25.42,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30.0,Single,High School,Long Xuyen,West,District #34,7
SHP00035,63,2012-07-07,2012-07-09,1.06,BEST Express,Truck,2,4.7,98.9,74,Morning,2020-05-03,Trần Văn Hùng,986963662,Male,54.0,Married,High School,Tam Ky,Central,District #32,2
SHP00036,66,2012-07-04,2012-07-06,0.88,Ninja Van,Van,3,4.7,96.5,33,Morning,2022-01-21,Phạm Gia An,974640157,Female,34.0,Single,Bachelor,Nha Trang,Central,District #29,2
SHP00037,67,2012-07-06,2012-07-13,0.44,GHN,Motorbike,9,4.3,96.7,70,Morning,2020-07-16,Phạm Quốc Dũng,936758027,Female,40.0,Single,Bachelor,Quang Ngai,Central,District #21,7
SHP00017,68,2012-07-06,2012-07-13,2.04,GHN,Motorbike,11,5.0,98.1,69,Afternoon,2025-08-24,Bùi Thị Hùng,908818611,Female,51.0,Married,College,Hue,Central,District #20,7
SHP00038,70,2012-07-06,2012-07-08,2.18,Ahamove,Motorbike,3,4.4,99.7,23,Evening,2019-10-25,Bùi Quốc Trang,961999001,Female,53.0,Single,College,Dong Hoi,Central,District #26,2
SHP00008,72,2012-07-07,2012-07-09,2.07,BEST Express,Truck,5,4.7,95.9,69,Afternoon,2022-03-11,Phạm Thanh Trang,914419500,Female,34.0,Married,Bachelor,Lao Cai,East,District #16,2
SHP00019,74,2012-07-04,2012-07-08,1.02,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Đặng Văn Nam,991210929,Female,46.0,Single,Bachelor,Quy Nhon,Central,District #21,4
SHP00039,75,2012-07-07,2012-07-13,1.47,Ahamove,Motorbike,8,4.9,97.3,50,Evening,2021-08-03,Phạm Đức Giang,954844436,Female,31.0,Single,High School,Nam Dinh,East,District #08,6
SHP00040,76,2012-07-07,2012-07-13,0.23,Ninja Van,Van,12,4.4,98.9,28,Morning,2023-10-04,Phạm Gia An,938877986,Male,36.0,Married,High School,Soc Trang,West,District #34,6
SHP00041,78,2012-07-04,2012-07-10,0.98,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38.0,Married,College,Vinh Long,West,District #36,6
SHP00032,79,2012-07-07,2012-07-09,1.73,BEST Express,Truck,6,4.8,97.1,37,Afternoon,2023-06-14,Đặng Văn Nam,961242116,Female,24.0,Single,High School,Bac Ninh,East,District #04,2
SHP00025,80,2012-07-06,2012-07-10,2.54,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,4
SHP00041,81,2012-07-05,2012-07-12,1.17,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38.0,Married,College,Vinh Long,West,District #36,7
SHP00042,82,2012-07-04,2012-07-11,1.08,Ninja Van,Van,7,5.0,99.8,55,Evening,2019-11-02,Nguyễn Quốc Trang,986734203,Male,51.0,Married,High School,Nha Trang,Central,District #31,7
SHP00003,83,2012-07-06,2012-07-08,1.35,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30.0,Single,High School,Long Xuyen,West,District #34,2
SHP00025,84,2012-07-05,2012-07-11,2.47,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,6
SHP00043,85,2012-07-05,2012-07-09,0.57,Ninja Van,Van,2,4.6,97.0,65,Morning,2021-02-21,Bùi Thị Trang,912757576,Female,38.0,Married,Bachelor,Soc Trang,West,District #34,4
SHP00042,86,2012-07-08,2012-07-12,2.47,Ninja Van,Van,7,5.0,99.8,55,Evening,2019-11-02,Nguyễn Quốc Trang,986734203,Male,51.0,Married,High School,Nha Trang,Central,District #31,4
SHP00025,87,2012-07-05,2012-07-09,29.81,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,4
SHP00029,88,2012-07-07,2012-07-09,29.96,Viettel Post,Truck,8,4.3,98.2,21,Morning,2023-03-28,Võ Quốc Hùng,938481552,Male,36.0,Single,College,Dong Hoi,Central,District #30,2
SHP00044,89,2012-07-06,2012-07-12,0.89,Ninja Van,Van,12,5.0,95.3,50,Morning,2018-06-10,Nguyễn Thị Cường,920549207,Female,34.0,Married,Bachelor,Da Nang,Central,District #21,6
SHP00045,90,2012-07-06,2012-07-11,1.49,Ahamove,Motorbike,7,4.8,95.3,42,Evening,2018-01-12,Nguyễn Thanh Giang,995279807,Male,27.0,Married,Bachelor,Son Tay,East,District #07,5
SHP00041,91,2012-07-07,2012-07-09,1.84,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38.0,Married,College,Vinh Long,West,District #36,2
SHP00046,92,2012-07-04,2012-07-10,1.1,GHTK,Motorbike,8,5.0,99.6,62,Afternoon,2023-07-07,Nguyễn Đức Cường,919341832,Male,34.0,Married,High School,Bac Ninh,East,District #03,6
SHP00015,93,2012-07-06,2012-07-08,1.47,Viettel Post,Truck,1,4.3,98.8,42,Afternoon,2024-12-22,Bùi Văn Hùng,946414069,Female,48.0,Single,Bachelor,Son Tay,East,District #06,2
SHP00001,95,2012-07-06,2012-07-13,1.73,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27.0,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25,7
SHP00001,96,2012-07-06,2012-07-10,1.06,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27.0,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25,4
SHP00047,100,2012-07-05,2012-07-11,0.54,Shopee Express,Motorbike,10,4.6,98.3,33,Afternoon,2022-01-09,Phạm Quốc Sơn,926716571,Male,42.0,Single,High School,Long Xuyen,West,District #35,6
SHP00011,101,2012-07-07,2012-07-14,2.73,J&T Express,Van,5,4.6,98.4,74,Afternoon,2023-03-23,Võ Thị Hùng,940850445,Female,43.0,Single,High School,Son Tay,East,District #03,7
SHP00019,102,2012-07-06,2012-07-10,2.54,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Đặng Văn Nam,991210929,Female,46.0,Single,Bachelor,Quy Nhon,Central,District #21,4
SHP00043,104,2012-07-05,2012-07-12,0.47,Ninja Van,Van,2,4.6,97.0,65,Morning,2021-02-21,Bùi Thị Trang,912757576,Female,38.0,Married,Bachelor,Soc Trang,West,District #34,7
SHP00048,106,2012-07-06,2012-07-11,2.46,Shopee Express,Motorbike,9,4.9,98.8,46,Afternoon,2024-12-01,Nguyễn Thị Vy,946448535,Male,51.0,Married,Bachelor,Bac Lieu,West,District #39,5
SHP00025,107,2012-07-07,2012-07-13,1.03,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,6
SHP00009,108,2012-07-06,2012-07-09,0.42,BEST Express,Truck,12,4.3,97.4,66,Evening,2022-10-06,Nguyễn Thanh Bình,909770946,Female,53.0,Married,College,Phu Ly,East,District #10,3
SHP00041,110,2012-07-09,2012-07-12,1.25,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38.0,Married,College,Vinh Long,West,District #36,3
SHP00049,116,2012-07-07,2012-07-14,0.45,Ahamove,Motorbike,6,4.8,98.0,67,Afternoon,2023-04-11,Đặng Đức Dũng,944279003,Male,24.0,Married,Bachelor,Vinh Long,West,District #36,7
SHP00041,117,2012-07-04,2012-07-08,1.46,J&T Express,Van,12,4.9,97.6,23,Morning,2023-03-21,Phạm Thị Hà,927179809,Male,38.0,Married,College,Vinh Long,West,District #36,4
SHP00050,118,2012-07-05,2012-07-11,1.05,GHTK,Motorbike,12,4.4,95.2,37,Morning,2019-05-27,Hoàng Gia Hùng,990945189,Female,49.0,Single,College,Tuy Hoa,Central,District #24,6
SHP00018,120,2012-07-05,2012-07-07,2.44,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Lê Gia Phong,902541877,Female,52.0,Single,College,Uong Bi,East,District #11,2
SHP00048,121,2012-07-06,2012-07-08,0.69,Shopee Express,Motorbike,9,4.9,98.8,46,Afternoon,2024-12-01,Nguyễn Thị Vy,946448535,Male,51.0,Married,Bachelor,Bac Lieu,West,District #39,2
SHP00019,122,2012-07-07,2012-07-09,1.74,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Đặng Văn Nam,991210929,Female,46.0,Single,Bachelor,Quy Nhon,Central,District #21,2
SHP00039,124,2012-07-07,2012-07-11,0.34,Ahamove,Motorbike,8,4.9,97.3,50,Evening,2021-08-03,Phạm Đức Giang,954844436,Female,31.0,Single,High School,Nam Dinh,East,District #08,4
SHP00051,125,2012-07-05,2012-07-07,1.75,J&T Express,Van,9,4.6,95.1,67,Afternoon,2019-02-16,Đặng Anh Hà,980366393,Female,42.0,Single,College,Viet Tri,East,District #15,2
SHP00040,126,2012-07-06,2012-07-13,1.01,Ninja Van,Van,12,4.4,98.9,28,Morning,2023-10-04,Phạm Gia An,938877986,Male,36.0,Married,High School,Soc Trang,West,District #34,7
SHP00038,128,2012-07-07,2012-07-09,0.19,Ahamove,Motorbike,3,4.4,99.7,23,Evening,2019-10-25,Bùi Quốc Trang,961999001,Female,53.0,Single,College,Dong Hoi,Central,District #26,2
SHP00043,132,2012-07-06,2012-07-09,1.88,Ninja Van,Van,2,4.6,97.0,65,Morning,2021-02-21,Bùi Thị Trang,912757576,Female,38.0,Married,Bachelor,Soc Trang,West,District #34,3
SHP00028,133,2012-07-06,2012-07-08,1.17,GHTK,Motorbike,8,4.6,98.8,52,Afternoon,2023-06-05,Hoàng Đức Quân,983104398,Male,29.0,Single,College,Cam Pha,East,District #06,2
SHP00052,135,2012-07-06,2012-07-08,2.53,Ninja Van,Van,4,4.7,99.3,59,Evening,2025-06-27,Phạm Anh Hùng,933172868,Female,38.0,Married,College,Phu Ly,East,District #04,2
SHP00053,136,2012-07-04,2012-07-08,1.27,GHTK,Motorbike,8,4.7,96.8,68,Evening,2018-02-20,Nguyễn Đức Bình,943102331,Female,54.0,Single,Bachelor,Da Nang,Central,District #30,4
SHP00025,140,2012-07-08,2012-07-15,1.61,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,7
SHP00025,144,2012-07-06,2012-07-09,0.34,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,3
SHP00054,145,2012-07-09,2012-07-13,2.3,BEST Express,Truck,9,4.7,97.8,56,Evening,2023-03-14,Nguyễn Quốc Phong,998883340,Female,50.0,Married,High School,Bac Giang,East,District #01,4
SHP00016,146,2012-07-06,2012-07-13,0.75,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Bùi Văn Trang,926827357,Male,55.0,Married,High School,Hue,Central,District #25,7
SHP00016,147,2012-07-07,2012-07-09,0.98,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Bùi Văn Trang,926827357,Male,55.0,Married,High School,Hue,Central,District #25,2
SHP00055,149,2012-07-08,2012-07-15,0.01,J&T Express,Van,5,4.2,95.8,46,Morning,2022-09-03,Hoàng Văn Trang,900482857,Female,34.0,Single,Bachelor,Thai Nguyen,East,District #06,7
SHP00056,152,2012-07-04,2012-07-09,31.7,Ninja Van,Van,8,4.9,96.6,21,Morning,2023-12-09,Nguyễn Minh Long,951583055,Male,55.0,Married,High School,My Tho,West,District #35,5
SHP00012,153,2012-07-05,2012-07-10,0.35,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01,Nguyễn Thị Bình,972210652,Female,49.0,Single,Bachelor,Ha Long,East,District #07,5
SHP00003,154,2012-07-08,2012-07-14,2.22,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30.0,Single,High School,Long Xuyen,West,District #34,6
SHP00021,156,2012-07-06,2012-07-13,2.52,GHN,Motorbike,12,4.3,99.7,20,Morning,2023-12-12,Lê Quốc Trang,960718218,Female,48.0,Married,Bachelor,Tuy Hoa,Central,District #32,7
SHP00057,157,2012-07-07,2012-07-13,0.39,GHTK,Motorbike,7,4.6,97.9,53,Evening,2024-02-09,Võ Thị Sơn,937417919,Male,26.0,Single,Bachelor,Cam Pha,East,District #05,6
SHP00058,158,2012-07-06,2012-07-08,0.44,GHN,Motorbike,11,4.6,98.3,37,Evening,2018-02-11,Bùi Thanh Hùng,956897812,Male,39.0,Married,College,Uong Bi,East,District #07,2
SHP00037,159,2012-07-05,2012-07-09,2.27,GHN,Motorbike,9,4.3,96.7,70,Morning,2020-07-16,Phạm Quốc Dũng,936758027,Female,40.0,Single,Bachelor,Quang Ngai,Central,District #21,4
SHP00005,160,2012-07-06,2012-07-08,2.05,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19,Trần Minh Cường,979196342,Male,31.0,Married,College,Da Nang,Central,District #23,2
SHP00059,163,2012-07-04,2012-07-11,24.7,J&T Express,Van,7,5.0,98.9,50,Evening,2021-05-08,Nguyễn Minh Quân,907366403,Male,55.0,Single,Bachelor,Bac Lieu,West,District #37,7
SHP00060,164,2012-07-07,2012-07-11,1.42,GHTK,Motorbike,11,4.7,95.4,32,Afternoon,2022-11-21,Bùi Thanh Cường,904584927,Male,39.0,Married,Bachelor,Uong Bi,East,District #03,4
SHP00056,165,2012-07-04,2012-07-06,2.61,Ninja Van,Van,8,4.9,96.6,21,Morning,2023-12-09,Nguyễn Minh Long,951583055,Male,55.0,Married,High School,My Tho,West,District #35,2
SHP00061,168,2012-07-04,2012-07-06,1.57,GHTK,Motorbike,1,4.8,95.1,74,Evening,2019-12-17,Lê Anh Quân,956517585,Male,32.0,Single,High School,Tam Ky,Central,District #26,2
SHP00034,169,2012-07-05,2012-07-07,1.04,Ninja Van,Van,7,4.7,97.4,58,Evening,2018-08-28,Đặng Thị Vy,983912150,Female,47.0,Married,College,Nha Trang,Central,District #28,2
SHP00061,170,2012-07-06,2012-07-11,1.01,GHTK,Motorbike,1,4.8,95.1,74,Evening,2019-12-17,Lê Anh Quân,956517585,Male,32.0,Single,High School,Tam Ky,Central,District #26,5
SHP00058,172,2012-07-08,2012-07-15,0.97,GHN,Motorbike,11,4.6,98.3,37,Evening,2018-02-11,Bùi Thanh Hùng,956897812,Male,39.0,Married,College,Uong Bi,East,District #07,7
SHP00008,173,2012-07-05,2012-07-11,26.78,BEST Express,Truck,5,4.7,95.9,69,Afternoon,2022-03-11,Phạm Thanh Trang,914419500,Female,34.0,Married,Bachelor,Lao Cai,East,District #16,6
SHP00029,175,2012-07-04,2012-07-11,30.45,Viettel Post,Truck,8,4.3,98.2,21,Morning,2023-03-28,Võ Quốc Hùng,938481552,Male,36.0,Single,College,Dong Hoi,Central,District #30,7
SHP00009,176,2012-07-07,2012-07-11,0.18,BEST Express,Truck,12,4.3,97.4,66,Evening,2022-10-06,Nguyễn Thanh Bình,909770946,Female,53.0,Married,College,Phu Ly,East,District #10,4
SHP00018,177,2012-07-07,2012-07-09,1.24,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Lê Gia Phong,902541877,Female,52.0,Single,College,Uong Bi,East,District #11,2
SHP00003,178,2012-07-06,2012-07-11,1.05,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30.0,Single,High School,Long Xuyen,West,District #34,5
SHP00056,179,2012-07-07,2012-07-14,0.69,Ninja Van,Van,8,4.9,96.6,21,Morning,2023-12-09,Nguyễn Minh Long,951583055,Male,55.0,Married,High School,My Tho,West,District #35,7
SHP00060,180,2012-07-06,2012-07-08,1.39,GHTK,Motorbike,11,4.7,95.4,32,Afternoon,2022-11-21,Bùi Thanh Cường,904584927,Male,39.0,Married,Bachelor,Uong Bi,East,District #03,2
SHP00018,182,2012-07-06,2012-07-09,1.06,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Lê Gia Phong,902541877,Female,52.0,Single,College,Uong Bi,East,District #11,3
SHP00014,183,2012-07-06,2012-07-12,0.13,J&T Express,Van,8,4.8,96.3,71,Evening,2018-02-10,Lê Gia Vy,971290529,Male,50.0,Single,Bachelor,Phan Thiet,Central,District #32,6
SHP00062,185,2012-07-07,2012-07-12,0.04,Viettel Post,Truck,1,4.3,98.7,69,Morning,2025-12-16,Trần Văn Sơn,954653513,Female,47.0,Single,Bachelor,Tuy Hoa,Central,District #23,5
SHP00040,186,2012-07-04,2012-07-09,2.66,Ninja Van,Van,12,4.4,98.9,28,Morning,2023-10-04,Phạm Gia An,938877986,Male,36.0,Married,High School,Soc Trang,West,District #34,5
SHP00025,187,2012-07-07,2012-07-13,0.06,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,6
SHP00061,188,2012-07-08,2012-07-14,0.46,GHTK,Motorbike,1,4.8,95.1,74,Evening,2019-12-17,Lê Anh Quân,956517585,Male,32.0,Single,High School,Tam Ky,Central,District #26,6
SHP00063,189,2012-07-07,2012-07-09,1.94,BEST Express,Truck,8,4.6,96.2,26,Evening,2019-04-28,Nguyễn Thanh Vy,922698939,Female,38.0,Married,Bachelor,Ninh Binh,East,District #14,2
SHP00024,190,2012-07-06,2012-07-13,2.04,Ninja Van,Van,3,4.5,96.4,71,Evening,2023-07-11,Hoàng Thị Nam,993822938,Female,55.0,Married,High School,Bac Giang,East,District #15,7
SHP00044,191,2012-07-08,2012-07-11,0.87,Ninja Van,Van,12,5.0,95.3,50,Morning,2018-06-10,Nguyễn Thị Cường,920549207,Female,34.0,Married,Bachelor,Da Nang,Central,District #21,3
SHP00064,192,2012-07-06,2012-07-09,1.78,J&T Express,Van,12,4.8,99.3,48,Afternoon,2018-07-24,Nguyễn Gia Quân,937230018,Male,39.0,Married,Bachelor,My Tho,West,District #33,3
